InstArgID,UserID,Dataset
InstArg1,BuzzfeedUser10,Data1
InstArg2,BuzzfeedUser18,Data1
InstArg3,BuzzfeedUser17,Data1
InstArg4,BuzzfeedUser16,Data1
InstArg5,BuzzfeedUser15,Data1
InstArg6,BuzzfeedUser14,Data1
InstArg7,BuzzfeedUser13,Data1
InstArg8,BuzzfeedUser12,Data1
InstArg9,BuzzfeedUser11,Data1
InstArg10,BuzzfeedUser19,Data1
InstArg11,BuzzfeedUser21,Data1
InstArg12,BuzzfeedUser20,Data1
InstArg13,BuzzfeedUser11280,Data1
InstArg14,BuzzfeedUser11281,Data1
InstArg15,BuzzfeedUser11282,Data1
InstArg16,BuzzfeedUser11283,Data1
InstArg17,BuzzfeedUser11284,Data1
InstArg18,BuzzfeedUser11285,Data1
InstArg19,BuzzfeedUser29,Data1
InstArg20,BuzzfeedUser11286,Data1
InstArg21,BuzzfeedUser28,Data1
InstArg22,BuzzfeedUser11287,Data1
InstArg23,BuzzfeedUser11288,Data1
InstArg24,BuzzfeedUser27,Data1
InstArg25,BuzzfeedUser26,Data1
InstArg26,BuzzfeedUser11289,Data1
InstArg27,BuzzfeedUser25,Data1
InstArg28,BuzzfeedUser24,Data1
InstArg29,BuzzfeedUser23,Data1
InstArg30,BuzzfeedUser22,Data1
InstArg31,BuzzfeedUser32,Data1
InstArg32,BuzzfeedUser11290,Data1
InstArg33,BuzzfeedUser31,Data1
InstArg34,BuzzfeedUser30,Data1
InstArg35,BuzzfeedUser11291,Data1
InstArg36,BuzzfeedUser11292,Data1
InstArg37,BuzzfeedUser11293,Data1
InstArg38,BuzzfeedUser11294,Data1
InstArg39,BuzzfeedUser11295,Data1
InstArg40,BuzzfeedUser11296,Data1
InstArg41,BuzzfeedUser11297,Data1
InstArg42,BuzzfeedUser11298,Data1
InstArg43,BuzzfeedUser39,Data1
InstArg44,BuzzfeedUser38,Data1
InstArg45,BuzzfeedUser11299,Data1
InstArg46,BuzzfeedUser37,Data1
InstArg47,BuzzfeedUser36,Data1
InstArg48,BuzzfeedUser35,Data1
InstArg49,BuzzfeedUser34,Data1
InstArg50,BuzzfeedUser33,Data1
InstArg51,BuzzfeedUser43,Data1
InstArg52,BuzzfeedUser42,Data1
InstArg53,BuzzfeedUser41,Data1
InstArg54,BuzzfeedUser12590,Data1
InstArg55,BuzzfeedUser40,Data1
InstArg56,BuzzfeedUser11260,Data1
InstArg57,BuzzfeedUser12592,Data1
InstArg58,BuzzfeedUser11261,Data1
InstArg59,BuzzfeedUser12591,Data1
InstArg60,BuzzfeedUser11262,Data1
InstArg61,BuzzfeedUser12594,Data1
InstArg62,BuzzfeedUser11263,Data1
InstArg63,BuzzfeedUser12593,Data1
InstArg64,BuzzfeedUser11264,Data1
InstArg65,BuzzfeedUser12596,Data1
InstArg66,BuzzfeedUser11265,Data1
InstArg67,BuzzfeedUser12595,Data1
InstArg68,BuzzfeedUser11266,Data1
InstArg69,BuzzfeedUser12598,Data1
InstArg70,BuzzfeedUser49,Data1
InstArg71,BuzzfeedUser48,Data1
InstArg72,BuzzfeedUser11267,Data1
