userID,dataset,socialNetwork,id
1,Data1,https://twitter.com/,BuzzfeedUser1
2,Data1,https://twitter.com/,BuzzfeedUser2
3,Data1,https://twitter.com/,BuzzfeedUser3
4,Data1,https://twitter.com/,BuzzfeedUser4
5,Data1,https://twitter.com/,BuzzfeedUser5
6,Data1,https://twitter.com/,BuzzfeedUser6
7,Data1,https://twitter.com/,BuzzfeedUser7
8,Data1,https://twitter.com/,BuzzfeedUser8
9,Data1,https://twitter.com/,BuzzfeedUser9
10,Data1,https://twitter.com/,BuzzfeedUser10
11,Data1,https://twitter.com/,BuzzfeedUser11
12,Data1,https://twitter.com/,BuzzfeedUser12
13,Data1,https://twitter.com/,BuzzfeedUser13
14,Data1,https://twitter.com/,BuzzfeedUser14
15,Data1,https://twitter.com/,BuzzfeedUser15
16,Data1,https://twitter.com/,BuzzfeedUser16
17,Data1,https://twitter.com/,BuzzfeedUser17
18,Data1,https://twitter.com/,BuzzfeedUser18
19,Data1,https://twitter.com/,BuzzfeedUser19
20,Data1,https://twitter.com/,BuzzfeedUser20
21,Data1,https://twitter.com/,BuzzfeedUser21
22,Data1,https://twitter.com/,BuzzfeedUser22
23,Data1,https://twitter.com/,BuzzfeedUser23
24,Data1,https://twitter.com/,BuzzfeedUser24
25,Data1,https://twitter.com/,BuzzfeedUser25
26,Data1,https://twitter.com/,BuzzfeedUser26
27,Data1,https://twitter.com/,BuzzfeedUser27
28,Data1,https://twitter.com/,BuzzfeedUser28
29,Data1,https://twitter.com/,BuzzfeedUser29
30,Data1,https://twitter.com/,BuzzfeedUser30
31,Data1,https://twitter.com/,BuzzfeedUser31
32,Data1,https://twitter.com/,BuzzfeedUser32
33,Data1,https://twitter.com/,BuzzfeedUser33
34,Data1,https://twitter.com/,BuzzfeedUser34
35,Data1,https://twitter.com/,BuzzfeedUser35
36,Data1,https://twitter.com/,BuzzfeedUser36
37,Data1,https://twitter.com/,BuzzfeedUser37
38,Data1,https://twitter.com/,BuzzfeedUser38
39,Data1,https://twitter.com/,BuzzfeedUser39
40,Data1,https://twitter.com/,BuzzfeedUser40
41,Data1,https://twitter.com/,BuzzfeedUser41
42,Data1,https://twitter.com/,BuzzfeedUser42
43,Data1,https://twitter.com/,BuzzfeedUser43
44,Data1,https://twitter.com/,BuzzfeedUser44
45,Data1,https://twitter.com/,BuzzfeedUser45
46,Data1,https://twitter.com/,BuzzfeedUser46
47,Data1,https://twitter.com/,BuzzfeedUser47
48,Data1,https://twitter.com/,BuzzfeedUser48
49,Data1,https://twitter.com/,BuzzfeedUser49
50,Data1,https://twitter.com/,BuzzfeedUser50
51,Data1,https://twitter.com/,BuzzfeedUser51
52,Data1,https://twitter.com/,BuzzfeedUser52
53,Data1,https://twitter.com/,BuzzfeedUser53
54,Data1,https://twitter.com/,BuzzfeedUser54
55,Data1,https://twitter.com/,BuzzfeedUser55
56,Data1,https://twitter.com/,BuzzfeedUser56
57,Data1,https://twitter.com/,BuzzfeedUser57
58,Data1,https://twitter.com/,BuzzfeedUser58
59,Data1,https://twitter.com/,BuzzfeedUser59
60,Data1,https://twitter.com/,BuzzfeedUser60
61,Data1,https://twitter.com/,BuzzfeedUser61
62,Data1,https://twitter.com/,BuzzfeedUser62
63,Data1,https://twitter.com/,BuzzfeedUser63
64,Data1,https://twitter.com/,BuzzfeedUser64
65,Data1,https://twitter.com/,BuzzfeedUser65
66,Data1,https://twitter.com/,BuzzfeedUser66
67,Data1,https://twitter.com/,BuzzfeedUser67
68,Data1,https://twitter.com/,BuzzfeedUser68
69,Data1,https://twitter.com/,BuzzfeedUser69
70,Data1,https://twitter.com/,BuzzfeedUser70
71,Data1,https://twitter.com/,BuzzfeedUser71
72,Data1,https://twitter.com/,BuzzfeedUser72
73,Data1,https://twitter.com/,BuzzfeedUser73
74,Data1,https://twitter.com/,BuzzfeedUser74
75,Data1,https://twitter.com/,BuzzfeedUser75
76,Data1,https://twitter.com/,BuzzfeedUser76
77,Data1,https://twitter.com/,BuzzfeedUser77
78,Data1,https://twitter.com/,BuzzfeedUser78
79,Data1,https://twitter.com/,BuzzfeedUser79
80,Data1,https://twitter.com/,BuzzfeedUser80
81,Data1,https://twitter.com/,BuzzfeedUser81
82,Data1,https://twitter.com/,BuzzfeedUser82
83,Data1,https://twitter.com/,BuzzfeedUser83
84,Data1,https://twitter.com/,BuzzfeedUser84
85,Data1,https://twitter.com/,BuzzfeedUser85
86,Data1,https://twitter.com/,BuzzfeedUser86
87,Data1,https://twitter.com/,BuzzfeedUser87
88,Data1,https://twitter.com/,BuzzfeedUser88
