InstArgID,NewsID,Dataset
InstArg723,BuzzfeedNews4,Data1
InstArg724,BuzzfeedNews5,Data1
InstArg754,BuzzfeedNews28,Data1
InstArg755,BuzzfeedNews30,Data1
InstArg756,BuzzfeedNews31,Data1
InstArg773,BuzzfeedNews36,Data1
InstArg777,BuzzfeedNews38,Data1
InstArg778,BuzzfeedNews41,Data1
InstArg803,BuzzfeedNews50,Data1
InstArg836,BuzzfeedNews59,Data1
InstArg844,BuzzfeedNews63,Data1
InstArg845,BuzzfeedNews71,Data1
InstArg846,BuzzfeedNews80,Data1
InstArg847,BuzzfeedNews83,Data1
InstArg848,BuzzfeedNews85,Data1
InstArg849,BuzzfeedNews87,Data1
InstArg5710,BuzzfeedNews179,Data1
InstArg8350,BuzzfeedNews167,Data1
InstArg8351,BuzzfeedNews159,Data1
InstArg8352,BuzzfeedNews153,Data1
InstArg8353,BuzzfeedNews156,Data1
InstArg8354,BuzzfeedNews155,Data1
InstArg8355,BuzzfeedNews148,Data1
InstArg8356,BuzzfeedNews138,Data1
InstArg8357,BuzzfeedNews140,Data1
InstArg8368,BuzzfeedNews116,Data1
InstArg8378,BuzzfeedNews112,Data1
InstArg8379,BuzzfeedNews111,Data1
InstArg8405,BuzzfeedNews98,Data1
InstArg8411,BuzzfeedNews95,Data1
InstArg9555,BuzzfeedNews1,Data1
InstArg9556,BuzzfeedNews34,Data1
InstArg9557,BuzzfeedNews12,Data1
InstArg9558,BuzzfeedNews125,Data1
InstArg9559,BuzzfeedNews147,Data1
InstArg9560,BuzzfeedNews180,Data1
InstArg15181,BuzzfeedNews150,Data1
InstArg15182,BuzzfeedNews170,Data1
InstArg15183,BuzzfeedNews146,Data1
InstArg15184,BuzzfeedNews108,Data1
InstArg15185,BuzzfeedNews135,Data1
InstArg15186,BuzzfeedNews121,Data1
InstArg15187,BuzzfeedNews131,Data1
InstArg15188,BuzzfeedNews144,Data1
InstArg15189,BuzzfeedNews133,Data1
InstArg15190,BuzzfeedNews103,Data1
InstArg15191,BuzzfeedNews157,Data1
InstArg15192,BuzzfeedNews166,Data1
InstArg15193,BuzzfeedNews115,Data1
InstArg15194,BuzzfeedNews142,Data1
InstArg15195,BuzzfeedNews130,Data1
InstArg15196,BuzzfeedNews181,Data1
InstArg15197,BuzzfeedNews107,Data1
InstArg15198,BuzzfeedNews160,Data1
InstArg15199,BuzzfeedNews118,Data1
InstArg15200,BuzzfeedNews171,Data1
