NewsID,news_cred,weightedConstraintsRule5
BuzzFeed_Fake_89,0.903,875.916
BuzzFeed_Fake_4,0.938,349.863
BuzzFeed_Real_46,0.146,235.759
BuzzFeed_Real_13,0.204,215.623
BuzzFeed_Fake_51,0.922,202.199
BuzzFeed_Real_73,0.009,179.546
BuzzFeed_Real_66,0.012,177.029
BuzzFeed_Fake_78,0.937,170.317
BuzzFeed_Fake_31,0.865,137.596
BuzzFeed_Fake_60,0.774,130.884
BuzzFeed_Fake_15,0.946,116.621
BuzzFeed_Fake_9,0.848,106.553
BuzzFeed_Real_41,0.047,86.417
BuzzFeed_Real_34,0.024,70.476
BuzzFeed_Real_86,0.014,57.052
BuzzFeed_Real_2,0.016,42.789
BuzzFeed_Real_81,0.051,39.433
BuzzFeed_Fake_53,0.958,37.755
BuzzFeed_Real_43,0.84,27.687
BuzzFeed_Real_84,0.098,26.848
BuzzFeed_Real_12,0.006,15.941
BuzzFeed_Real_62,0.052,15.941
BuzzFeed_Real_37,0.178,15.102
BuzzFeed_Fake_28,0.855,11.746
BuzzFeed_Fake_68,0.782,10.907
BuzzFeed_Real_1,0.742,10.907
BuzzFeed_Real_54,0.441,10.907
BuzzFeed_Fake_70,0.773,10.068
BuzzFeed_Fake_67,0.731,9.229
BuzzFeed_Fake_12,0.53,8.39
BuzzFeed_Fake_27,0.85,7.551
BuzzFeed_Real_36,0.73,6.712
BuzzFeed_Fake_6,0.824,5.034
BuzzFeed_Fake_65,0.73,5.034
BuzzFeed_Real_4,0.985,5.034
BuzzFeed_Real_88,0.769,2.517
