NewsID,news_cred,weightedConstraintsRule6
BuzzFeed_Fake_89,0.903,828.936
BuzzFeed_Fake_4,0.938,331.098
BuzzFeed_Real_46,0.146,223.114
BuzzFeed_Real_13,0.204,204.058
BuzzFeed_Fake_51,0.922,191.354
BuzzFeed_Real_73,0.009,169.916
BuzzFeed_Real_66,0.012,167.534
BuzzFeed_Fake_78,0.937,161.182
BuzzFeed_Fake_31,0.865,130.216
BuzzFeed_Fake_60,0.774,123.864
BuzzFeed_Fake_15,0.946,110.366
BuzzFeed_Fake_9,0.848,100.838
BuzzFeed_Real_41,0.047,81.782
BuzzFeed_Real_34,0.024,66.696
BuzzFeed_Real_86,0.014,53.992
BuzzFeed_Real_2,0.016,40.494
BuzzFeed_Real_81,0.051,37.318
BuzzFeed_Fake_53,0.958,35.73
BuzzFeed_Real_43,0.84,26.202
BuzzFeed_Real_84,0.098,25.408
BuzzFeed_Real_12,0.006,15.086
BuzzFeed_Real_62,0.052,15.086
BuzzFeed_Real_37,0.178,14.292
BuzzFeed_Fake_28,0.855,11.116
BuzzFeed_Fake_68,0.782,10.322
BuzzFeed_Real_1,0.742,10.322
BuzzFeed_Real_54,0.441,10.322
BuzzFeed_Fake_70,0.773,9.528
BuzzFeed_Fake_67,0.731,8.734
BuzzFeed_Fake_12,0.53,7.94
BuzzFeed_Fake_27,0.85,7.146
BuzzFeed_Real_36,0.73,6.352
BuzzFeed_Fake_6,0.824,4.764
BuzzFeed_Fake_65,0.73,4.764
BuzzFeed_Real_4,0.985,4.764
BuzzFeed_Real_88,0.769,2.382
