rva,AtomName,Type,Credibility,lastValue,convergencePoint
https://nobias-project.eu/RandomVariableAtom/RVA5710,FAKENEWS(BuzzFeed_Fake_89),News,NotCredible,0.903,33
https://nobias-project.eu/RandomVariableAtom/RVA778,FAKENEWS(BuzzFeed_Real_46),News,Credible,0.146,33
https://nobias-project.eu/RandomVariableAtom/RVA9558,FAKENEWS(BuzzFeed_Fake_4),News,NotCredible,0.938,34
https://nobias-project.eu/RandomVariableAtom/RVA8356,FAKENEWS(BuzzFeed_Fake_51),News,NotCredible,0.922,33
https://nobias-project.eu/RandomVariableAtom/RVA8355,FAKENEWS(BuzzFeed_Fake_60),News,NotCredible,0.774,34
https://nobias-project.eu/RandomVariableAtom/RVA723,FAKENEWS(BuzzFeed_Real_12),News,Credible,0.006,29
https://nobias-project.eu/RandomVariableAtom/RVA8368,FAKENEWS(BuzzFeed_Fake_31),News,NotCredible,0.865,32
https://nobias-project.eu/RandomVariableAtom/RVA8378,FAKENEWS(BuzzFeed_Fake_28),News,NotCredible,0.855,32
https://nobias-project.eu/RandomVariableAtom/RVA773,FAKENEWS(BuzzFeed_Real_41),News,Credible,0.047,32
https://nobias-project.eu/RandomVariableAtom/RVA846,FAKENEWS(BuzzFeed_Real_81),News,Credible,0.051,30
https://nobias-project.eu/RandomVariableAtom/RVA836,FAKENEWS(BuzzFeed_Real_62),News,Credible,0.052,34
https://nobias-project.eu/RandomVariableAtom/RVA8350,FAKENEWS(BuzzFeed_Fake_78),News,NotCredible,0.937,33
https://nobias-project.eu/RandomVariableAtom/RVA9557,FAKENEWS(BuzzFeed_Real_2),News,Credible,0.016,30
https://nobias-project.eu/RandomVariableAtom/RVA724,FAKENEWS(BuzzFeed_Real_13),News,Credible,0.204,34
https://nobias-project.eu/RandomVariableAtom/RVA9560,FAKENEWS(BuzzFeed_Fake_9),News,NotCredible,0.848,34
https://nobias-project.eu/RandomVariableAtom/RVA844,FAKENEWS(BuzzFeed_Real_66),News,Credible,0.012,29
https://nobias-project.eu/RandomVariableAtom/RVA845,FAKENEWS(BuzzFeed_Real_73),News,Credible,0.009,34
https://nobias-project.eu/RandomVariableAtom/RVA848,FAKENEWS(BuzzFeed_Real_86),News,Credible,0.014,32
https://nobias-project.eu/RandomVariableAtom/RVA754,FAKENEWS(BuzzFeed_Real_34),News,Credible,0.024,34
https://nobias-project.eu/RandomVariableAtom/RVA9555,FAKENEWS(BuzzFeed_Real_1),News,NotCredible,0.742,31
https://nobias-project.eu/RandomVariableAtom/RVA849,FAKENEWS(BuzzFeed_Real_88),News,NotCredible,0.769,34
https://nobias-project.eu/RandomVariableAtom/RVA8405,FAKENEWS(BuzzFeed_Fake_15),News,NotCredible,0.946,32
https://nobias-project.eu/RandomVariableAtom/RVA777,FAKENEWS(BuzzFeed_Real_43),News,NotCredible,0.84,31
https://nobias-project.eu/RandomVariableAtom/RVA803,FAKENEWS(BuzzFeed_Real_54),News,Credible,0.441,25
https://nobias-project.eu/RandomVariableAtom/RVA8411,FAKENEWS(BuzzFeed_Fake_12),News,NotCredible,0.53,17
https://nobias-project.eu/RandomVariableAtom/RVA847,FAKENEWS(BuzzFeed_Real_84),News,Credible,0.098,28
https://nobias-project.eu/RandomVariableAtom/RVA756,FAKENEWS(BuzzFeed_Real_37),News,Credible,0.178,31
https://nobias-project.eu/RandomVariableAtom/RVA8357,FAKENEWS(BuzzFeed_Fake_53),News,NotCredible,0.958,32
https://nobias-project.eu/RandomVariableAtom/RVA8379,FAKENEWS(BuzzFeed_Fake_27),News,NotCredible,0.85,33
https://nobias-project.eu/RandomVariableAtom/RVA9559,FAKENEWS(BuzzFeed_Fake_6),News,NotCredible,0.824,32
https://nobias-project.eu/RandomVariableAtom/RVA9556,FAKENEWS(BuzzFeed_Real_4),News,NotCredible,0.985,31
https://nobias-project.eu/RandomVariableAtom/RVA8352,FAKENEWS(BuzzFeed_Fake_65),News,NotCredible,0.73,21
https://nobias-project.eu/RandomVariableAtom/RVA8354,FAKENEWS(BuzzFeed_Fake_67),News,NotCredible,0.731,25
