rva,name,value,credibility
https://nobias-project.eu/RandomVariableAtom/RVA2157,PUBCREDLAT(http://abcn.ws),0.971,Credible
https://nobias-project.eu/RandomVariableAtom/RVA8436,PUBCREDLAT(http://cnn.it),0.983,Credible
https://nobias-project.eu/RandomVariableAtom/RVA13434,PUBCREDLAT(http://eaglerising.com),0.307,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA14959,PUBCREDLAT(http://politi.co),0.984,Credible
https://nobias-project.eu/RandomVariableAtom/RVA11888,PUBCREDLAT(http://rightwingnews.com),0.299,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA5012,PUBCREDLAT(http://winningdemocrats.com),0.329,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA10910,PUBCREDLAT(http://addictinginfo.org),0.603,Credible
https://nobias-project.eu/RandomVariableAtom/RVA12848,PUBCREDLAT(http://occupydemocrats.com),0.173,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA1803,PUBCREDLAT(http://ifyouonlynews.com),0.777,Credible
https://nobias-project.eu/RandomVariableAtom/RVA4060,PUBCREDLAT(http://opposingviews.com),0.71,Credible
https://nobias-project.eu/RandomVariableAtom/RVA11439,PUBCREDLAT(http://washingtonpost.com),1.0,Credible
https://nobias-project.eu/RandomVariableAtom/RVA14700,PUBCREDLAT(http://freedomdaily.com),0.014,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA12849,PUBCREDLAT(http://conservativebyte.com),0.004,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA5609,PUBCREDLAT(unknown),0.019,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA3024,PUBCREDLAT(http://clashdaily.com),0.045,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA2691,PUBCREDLAT(http://ihavethetruth.com),0.032,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA4853,PUBCREDLAT(http://conservativetribune.com),0.029,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA1280,PUBCREDLAT(http://100percentfedup.com),0.018,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA8171,PUBCREDLAT(http://goo.gl),0.348,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA14788,PUBCREDLAT(http://thepoliticalinsider.com),0.174,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA14492,PUBCREDLAT(http://proudcons.com),0.0,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA5558,PUBCREDLAT(http://author.addictinginfo.org),0.0,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA15147,PUBCREDLAT(http://theblacksphere.net),0.0,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA4698,PUBCREDLAT(http://usherald.com),0.0,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA4309,PUBCREDLAT(http://allenwestrepublic.com),0.0,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA4189,PUBCREDLAT(http://chicksontheright.com),0.0,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA14551,PUBCREDLAT(http://yesimright.com),0.0,NotCredible
https://nobias-project.eu/RandomVariableAtom/RVA10932,PUBCREDLAT(http://author.groopspeak.com),0.0,NotCredible
