"NewsID","UserID","Num","Annotation","PublisherID","FactChecker","PubCred","naiveUserCred","NewPublisherID","NewUserID"
"BuzzFeed_Fake_36","2","1","1","Publisher13","BuzzFeed","0","1","Publisher13_2","2_Publisher13"
"BuzzFeed_Fake_36","35","1","1","Publisher13","BuzzFeed","0","1","Publisher13_35","35_Publisher13"
"BuzzFeed_Fake_36","194","1","1","Publisher13","BuzzFeed","0","1","Publisher13_194","194_Publisher13"
"BuzzFeed_Fake_36","223","1","1","Publisher13","BuzzFeed","0","1","Publisher13_223","223_Publisher13"
"BuzzFeed_Fake_36","266","1","1","Publisher13","BuzzFeed","0","1","Publisher13_266","266_Publisher13"
"BuzzFeed_Fake_36","282","1","1","Publisher13","BuzzFeed","0","1","Publisher13_282","282_Publisher13"
"BuzzFeed_Fake_36","321","1","1","Publisher13","BuzzFeed","0","1","Publisher13_321","321_Publisher13"
"BuzzFeed_Fake_36","359","1","1","Publisher13","BuzzFeed","0","1","Publisher13_359","359_Publisher13"
"BuzzFeed_Fake_36","378","1","1","Publisher13","BuzzFeed","0","1","Publisher13_378","378_Publisher13"
"BuzzFeed_Fake_36","400","1","1","Publisher13","BuzzFeed","0","1","Publisher13_400","400_Publisher13"
"BuzzFeed_Fake_36","528","1","1","Publisher13","BuzzFeed","0","1","Publisher13_528","528_Publisher13"
"BuzzFeed_Fake_36","560","1","1","Publisher13","BuzzFeed","0","1","Publisher13_560","560_Publisher13"
"BuzzFeed_Fake_36","604","1","1","Publisher13","BuzzFeed","0","1","Publisher13_604","604_Publisher13"
"BuzzFeed_Fake_36","804","1","1","Publisher13","BuzzFeed","0","1","Publisher13_804","804_Publisher13"
"BuzzFeed_Fake_36","872","1","1","Publisher13","BuzzFeed","0","1","Publisher13_872","872_Publisher13"
"BuzzFeed_Fake_36","938","1","1","Publisher13","BuzzFeed","0","1","Publisher13_938","938_Publisher13"
"BuzzFeed_Fake_36","959","1","1","Publisher13","BuzzFeed","0","1","Publisher13_959","959_Publisher13"
