"NewsID","UserID","Num","Annotation","PublisherID","FactChecker","PubCred","NewPublisherID","NewUserID"
"PolitiFact_Fake_4","2","1","1","Publisher86","PolitiFact","1","Publisher86_2","2_Publisher86"
"PolitiFact_Fake_4","138","1","1","Publisher86","PolitiFact","1","Publisher86_138","138_Publisher86"
"PolitiFact_Fake_4","294","1","1","Publisher86","PolitiFact","1","Publisher86_294","294_Publisher86"
"PolitiFact_Fake_4","404","1","1","Publisher86","PolitiFact","1","Publisher86_404","404_Publisher86"
"PolitiFact_Fake_4","411","1","1","Publisher86","PolitiFact","1","Publisher86_411","411_Publisher86"
"PolitiFact_Fake_4","436","1","1","Publisher86","PolitiFact","1","Publisher86_436","436_Publisher86"
"PolitiFact_Fake_4","500","1","1","Publisher86","PolitiFact","1","Publisher86_500","500_Publisher86"
"PolitiFact_Fake_4","521","1","1","Publisher86","PolitiFact","1","Publisher86_521","521_Publisher86"
"PolitiFact_Fake_4","643","1","1","Publisher86","PolitiFact","1","Publisher86_643","643_Publisher86"
"PolitiFact_Fake_4","681","1","1","Publisher86","PolitiFact","1","Publisher86_681","681_Publisher86"
"PolitiFact_Fake_4","762","1","1","Publisher86","PolitiFact","1","Publisher86_762","762_Publisher86"
"PolitiFact_Fake_4","814","1","1","Publisher86","PolitiFact","1","Publisher86_814","814_Publisher86"
"PolitiFact_Fake_4","882","1","1","Publisher86","PolitiFact","1","Publisher86_882","882_Publisher86"
"PolitiFact_Fake_4","926","1","1","Publisher86","PolitiFact","1","Publisher86_926","926_Publisher86"
"PolitiFact_Fake_4","1029","1","1","Publisher86","PolitiFact","1","Publisher86_1029","1029_Publisher86"
"PolitiFact_Fake_4","1058","1","1","Publisher86","PolitiFact","1","Publisher86_1058","1058_Publisher86"
"PolitiFact_Fake_4","1083","1","1","Publisher86","PolitiFact","1","Publisher86_1083","1083_Publisher86"
"PolitiFact_Fake_4","1211","1","1","Publisher86","PolitiFact","1","Publisher86_1211","1211_Publisher86"
"PolitiFact_Fake_4","1242","1","1","Publisher86","PolitiFact","1","Publisher86_1242","1242_Publisher86"
"PolitiFact_Fake_4","1270","1","1","Publisher86","PolitiFact","1","Publisher86_1270","1270_Publisher86"
"PolitiFact_Fake_4","1327","1","1","Publisher86","PolitiFact","1","Publisher86_1327","1327_Publisher86"
