NewsID,SharedByUser,user_atom
BuzzFeed_Fake_89,User10,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA1
BuzzFeed_Fake_80,User10,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA1
BuzzFeed_Fake_49,User10,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA1
BuzzFeed_Real_45,User18,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA2
BuzzFeed_Real_46,User17,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA3
BuzzFeed_Fake_62,User16,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA4
BuzzFeed_Fake_89,User15,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA5
BuzzFeed_Fake_59,User14,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA6
BuzzFeed_Fake_49,User13,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA7
BuzzFeed_Fake_62,User12,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA8
BuzzFeed_Fake_59,User11,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA9
BuzzFeed_Fake_49,User19,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA10
BuzzFeed_Fake_45,User19,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA10
BuzzFeed_Fake_80,User19,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA10
BuzzFeed_Fake_57,User19,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA10
BuzzFeed_Fake_89,User19,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA10
BuzzFeed_Fake_62,User21,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA11
BuzzFeed_Real_56,User20,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA12
BuzzFeed_Real_66,User11280,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA13
BuzzFeed_Real_50,User11280,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA13
BuzzFeed_Real_38,User11280,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA13
BuzzFeed_Real_56,User11281,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA14
BuzzFeed_Fake_49,User11282,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA15
BuzzFeed_Fake_49,User11283,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA16
BuzzFeed_Real_32,User11284,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA17
BuzzFeed_Fake_44,User11285,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA18
BuzzFeed_Fake_55,User11285,https://github.com/tibonto/Doc-BIAS/RandomVariableAtom/RVA18
