term_id,coefficient,has_rva,Model,Dataset,Fold_number,fold_id
Term1,1.0,RVA1,Model2,Data1,1,Fold1
Term1,1.0,RVA5710,Model2,Data1,1,Fold1
Term2,1.0,RVA6,Model2,Data1,1,Fold1
Term3,1.0,RVA4,Model2,Data1,1,Fold1
Term4,1.0,RVA3,Model2,Data1,1,Fold1
Term4,1.0,RVA778,Model2,Data1,1,Fold1
Term5,1.0,RVA1674,Model2,Data1,1,Fold1
Term6,1.0,RVA7,Model2,Data1,1,Fold1
Term7,1.0,RVA9,Model2,Data1,1,Fold1
Term8,1.0,RVA1670,Model2,Data1,1,Fold1
Term9,1.0,RVA1671,Model2,Data1,1,Fold1
Term10,1.0,RVA1672,Model2,Data1,1,Fold1
Term11,1.0,RVA10,Model2,Data1,1,Fold1
Term12,1.0,RVA10,Model2,Data1,1,Fold1
Term13,1.0,RVA1671,Model2,Data1,1,Fold1
Term13,1.0,RVA5710,Model2,Data1,1,Fold1
Term14,1.0,RVA1,Model2,Data1,1,Fold1
Term15,1.0,RVA10,Model2,Data1,1,Fold1
Term16,1.0,RVA10,Model2,Data1,1,Fold1
Term17,1.0,RVA1,Model2,Data1,1,Fold1
Term18,1.0,RVA8,Model2,Data1,1,Fold1
Term19,1.0,RVA11,Model2,Data1,1,Fold1
Term20,1.0,RVA5,Model2,Data1,1,Fold1
Term20,1.0,RVA5710,Model2,Data1,1,Fold1
Term21,1.0,RVA34,Model2,Data1,1,Fold1
Term21,1.0,RVA778,Model2,Data1,1,Fold1
Term22,1.0,RVA50,Model2,Data1,1,Fold1
Term23,1.0,RVA47,Model2,Data1,1,Fold1
Term24,1.0,RVA25,Model2,Data1,1,Fold1
Term24,1.0,RVA5710,Model2,Data1,1,Fold1
Term25,1.0,RVA48,Model2,Data1,1,Fold1
Term26,1.0,RVA44,Model2,Data1,1,Fold1
Term27,1.0,RVA46,Model2,Data1,1,Fold1
Term28,1.0,RVA52,Model2,Data1,1,Fold1
Term29,1.0,RVA19,Model2,Data1,1,Fold1
