id,name,subClassOf,Model,Dataset,Fold_number,fold_id,value
OBS1,BLOCK(BuzzFeed_Fake_89),Atom1,Model2,Data1,1,Fold1,1.0
OBS2,"USERSHARE(BuzzFeed_Fake_89,10)",Atom6,Model2,Data1,1,Fold1,1.0
OBS3,FAKENEWS(BuzzFeed_Fake_59),Atom2,Model2,Data1,1,Fold1,1.0
OBS4,"USERSHARE(BuzzFeed_Fake_59,14)",Atom6,Model2,Data1,1,Fold1,1.0
OBS5,BLOCK(BuzzFeed_Fake_59),Atom1,Model2,Data1,1,Fold1,1.0
OBS6,"USERSHARE(BuzzFeed_Fake_62,16)",Atom6,Model2,Data1,1,Fold1,1.0
OBS7,BLOCK(BuzzFeed_Fake_62),Atom1,Model2,Data1,1,Fold1,1.0
OBS8,FAKENEWS(BuzzFeed_Fake_62),Atom2,Model2,Data1,1,Fold1,1.0
OBS9,"USERSHARE(BuzzFeed_Real_46,17)",Atom6,Model2,Data1,1,Fold1,1.0
OBS10,BLOCK(BuzzFeed_Real_46),Atom1,Model2,Data1,1,Fold1,1.0
OBS11,"USERSHARE(BuzzFeed_Fake_59,9)",Atom6,Model2,Data1,1,Fold1,1.0
OBS12,FAKENEWS(BuzzFeed_Fake_49),Atom2,Model2,Data1,1,Fold1,1.0
OBS13,"USERSHARE(BuzzFeed_Fake_49,13)",Atom6,Model2,Data1,1,Fold1,1.0
OBS14,BLOCK(BuzzFeed_Fake_49),Atom1,Model2,Data1,1,Fold1,1.0
OBS15,"USERSHARE(BuzzFeed_Fake_59,11)",Atom6,Model2,Data1,1,Fold1,1.0
OBS16,"USERSHARE(BuzzFeed_Fake_49,4)",Atom6,Model2,Data1,1,Fold1,1.0
OBS17,"USERSHARE(BuzzFeed_Fake_24,3)",Atom6,Model2,Data1,1,Fold1,1.0
OBS18,FAKENEWS(BuzzFeed_Fake_24),Atom2,Model2,Data1,1,Fold1,1.0
OBS19,BLOCK(BuzzFeed_Fake_24),Atom1,Model2,Data1,1,Fold1,1.0
OBS20,"USERSHARE(BuzzFeed_Fake_36,2)",Atom6,Model2,Data1,1,Fold1,1.0
OBS21,FAKENEWS(BuzzFeed_Fake_36),Atom2,Model2,Data1,1,Fold1,1.0
OBS22,BLOCK(BuzzFeed_Fake_36),Atom1,Model2,Data1,1,Fold1,1.0
OBS23,"USERSHARE(BuzzFeed_Fake_49,19)",Atom6,Model2,Data1,1,Fold1,1.0
OBS24,BLOCK(BuzzFeed_Fake_45),Atom1,Model2,Data1,1,Fold1,1.0
OBS25,"USERSHARE(BuzzFeed_Fake_45,19)",Atom6,Model2,Data1,1,Fold1,1.0
OBS26,FAKENEWS(BuzzFeed_Fake_45),Atom2,Model2,Data1,1,Fold1,1.0
OBS27,"USERSHARE(BuzzFeed_Fake_89,3)",Atom6,Model2,Data1,1,Fold1,1.0
OBS28,BLOCK(BuzzFeed_Fake_80),Atom1,Model2,Data1,1,Fold1,1.0
OBS29,"USERSHARE(BuzzFeed_Fake_80,10)",Atom6,Model2,Data1,1,Fold1,1.0
OBS30,FAKENEWS(BuzzFeed_Fake_80),Atom2,Model2,Data1,1,Fold1,1.0
OBS31,"USERSHARE(BuzzFeed_Fake_80,19)",Atom6,Model2,Data1,1,Fold1,1.0
OBS32,"USERSHARE(BuzzFeed_Fake_57,19)",Atom6,Model2,Data1,1,Fold1,1.0
OBS33,FAKENEWS(BuzzFeed_Fake_57),Atom2,Model2,Data1,1,Fold1,1.0
OBS34,BLOCK(BuzzFeed_Fake_57),Atom1,Model2,Data1,1,Fold1,1.0
OBS35,"USERSHARE(BuzzFeed_Fake_49,10)",Atom6,Model2,Data1,1,Fold1,1.0
OBS36,"USERSHARE(BuzzFeed_Fake_62,12)",Atom6,Model2,Data1,1,Fold1,1.0
OBS37,"USERSHARE(BuzzFeed_Fake_62,21)",Atom6,Model2,Data1,1,Fold1,1.0
OBS38,"USERSHARE(BuzzFeed_Fake_89,15)",Atom6,Model2,Data1,1,Fold1,1.0
OBS39,"USERSHARE(BuzzFeed_Real_46,30)",Atom6,Model2,Data1,1,Fold1,1.0
OBS40,FAKENEWS(BuzzFeed_Fake_69),Atom2,Model2,Data1,1,Fold1,1.0
OBS41,"USERSHARE(BuzzFeed_Fake_69,33)",Atom6,Model2,Data1,1,Fold1,1.0
OBS42,BLOCK(BuzzFeed_Fake_69),Atom1,Model2,Data1,1,Fold1,1.0
OBS43,FAKENEWS(BuzzFeed_Fake_2),Atom2,Model2,Data1,1,Fold1,1.0
OBS44,"USERSHARE(BuzzFeed_Fake_2,36)",Atom6,Model2,Data1,1,Fold1,1.0
OBS45,BLOCK(BuzzFeed_Fake_2),Atom1,Model2,Data1,1,Fold1,1.0
OBS46,"USERSHARE(BuzzFeed_Fake_89,26)",Atom6,Model2,Data1,1,Fold1,1.0
OBS47,"USERSHARE(BuzzFeed_Fake_36,35)",Atom6,Model2,Data1,1,Fold1,1.0
OBS48,BLOCK(BuzzFeed_Fake_30),Atom1,Model2,Data1,1,Fold1,1.0
OBS49,FAKENEWS(BuzzFeed_Fake_30),Atom2,Model2,Data1,1,Fold1,1.0
OBS50,"USERSHARE(BuzzFeed_Fake_30,38)",Atom6,Model2,Data1,1,Fold1,1.0
OBS51,"USERSHARE(BuzzFeed_Fake_62,37)",Atom6,Model2,Data1,1,Fold1,1.0
OBS52,"USERSHARE(BuzzFeed_Fake_2,42)",Atom6,Model2,Data1,1,Fold1,1.0
OBS53,BLOCK(BuzzFeed_Fake_4),Atom1,Model2,Data1,1,Fold1,1.0
OBS54,"USERSHARE(BuzzFeed_Fake_4,29)",Atom6,Model2,Data1,1,Fold1,1.0
OBS55,BLOCK(BuzzFeed_Fake_77),Atom1,Model2,Data1,1,Fold1,1.0
OBS56,FAKENEWS(BuzzFeed_Fake_77),Atom2,Model2,Data1,1,Fold1,1.0
OBS57,"USERSHARE(BuzzFeed_Fake_77,48)",Atom6,Model2,Data1,1,Fold1,1.0
OBS58,"USERSHARE(BuzzFeed_Fake_2,28)",Atom6,Model2,Data1,1,Fold1,1.0
OBS59,"USERSHARE(BuzzFeed_Fake_49,44)",Atom6,Model2,Data1,1,Fold1,1.0
OBS60,BLOCK(BuzzFeed_Fake_55),Atom1,Model2,Data1,1,Fold1,1.0
OBS61,FAKENEWS(BuzzFeed_Fake_55),Atom2,Model2,Data1,1,Fold1,1.0
OBS62,"USERSHARE(BuzzFeed_Fake_55,51)",Atom6,Model2,Data1,1,Fold1,1.0
OBS63,"USERSHARE(BuzzFeed_Fake_47,24)",Atom6,Model2,Data1,1,Fold1,1.0
OBS64,FAKENEWS(BuzzFeed_Fake_47),Atom2,Model2,Data1,1,Fold1,1.0
OBS65,BLOCK(BuzzFeed_Fake_47),Atom1,Model2,Data1,1,Fold1,1.0
OBS66,"USERSHARE(BuzzFeed_Fake_23,51)",Atom6,Model2,Data1,1,Fold1,1.0
OBS67,BLOCK(BuzzFeed_Fake_23),Atom1,Model2,Data1,1,Fold1,1.0
