id,name,subClassOf,Model,Dataset,Fold_number,fold_id,value
RVA1,USERCREDLAT(10),Atom5,Model2,Data1,1,Fold1,0.017
RVA2,USERCREDLAT(18),Atom5,Model2,Data1,1,Fold1,1.0
RVA3,USERCREDLAT(17),Atom5,Model2,Data1,1,Fold1,0.771
RVA4,USERCREDLAT(16),Atom5,Model2,Data1,1,Fold1,0.0
RVA5,USERCREDLAT(15),Atom5,Model2,Data1,1,Fold1,0.033
RVA6,USERCREDLAT(14),Atom5,Model2,Data1,1,Fold1,0.0
RVA7,USERCREDLAT(13),Atom5,Model2,Data1,1,Fold1,0.0
RVA8,USERCREDLAT(12),Atom5,Model2,Data1,1,Fold1,0.0
RVA9,USERCREDLAT(11),Atom5,Model2,Data1,1,Fold1,0.0
RVA10,USERCREDLAT(19),Atom5,Model2,Data1,1,Fold1,0.0
RVA11,USERCREDLAT(21),Atom5,Model2,Data1,1,Fold1,0.0
RVA12,USERCREDLAT(20),Atom5,Model2,Data1,1,Fold1,1.0
RVA13,USERCREDLAT(11280),Atom5,Model2,Data1,1,Fold1,1.0
RVA14,USERCREDLAT(11281),Atom5,Model2,Data1,1,Fold1,1.0
RVA15,USERCREDLAT(11282),Atom5,Model2,Data1,1,Fold1,0.0
RVA16,USERCREDLAT(11283),Atom5,Model2,Data1,1,Fold1,0.0
RVA17,USERCREDLAT(11284),Atom5,Model2,Data1,1,Fold1,1.0
RVA18,USERCREDLAT(11285),Atom5,Model2,Data1,1,Fold1,0.724
RVA19,USERCREDLAT(29),Atom5,Model2,Data1,1,Fold1,0.0
RVA20,USERCREDLAT(11286),Atom5,Model2,Data1,1,Fold1,0.0
RVA21,USERCREDLAT(28),Atom5,Model2,Data1,1,Fold1,0.0
RVA22,USERCREDLAT(11287),Atom5,Model2,Data1,1,Fold1,1.0
RVA23,USERCREDLAT(11288),Atom5,Model2,Data1,1,Fold1,0.771
RVA24,USERCREDLAT(27),Atom5,Model2,Data1,1,Fold1,1.0
RVA25,USERCREDLAT(26),Atom5,Model2,Data1,1,Fold1,0.033
RVA26,USERCREDLAT(11289),Atom5,Model2,Data1,1,Fold1,1.0
RVA27,USERCREDLAT(25),Atom5,Model2,Data1,1,Fold1,1.0
RVA28,USERCREDLAT(24),Atom5,Model2,Data1,1,Fold1,0.0
RVA29,USERCREDLAT(23),Atom5,Model2,Data1,1,Fold1,1.0
RVA30,USERCREDLAT(22),Atom5,Model2,Data1,1,Fold1,1.0
RVA31,USERCREDLAT(32),Atom5,Model2,Data1,1,Fold1,0.0
RVA32,USERCREDLAT(11290),Atom5,Model2,Data1,1,Fold1,0.0
RVA33,USERCREDLAT(31),Atom5,Model2,Data1,1,Fold1,1.0
RVA34,USERCREDLAT(30),Atom5,Model2,Data1,1,Fold1,0.967
RVA35,USERCREDLAT(11291),Atom5,Model2,Data1,1,Fold1,1.0
RVA36,USERCREDLAT(11292),Atom5,Model2,Data1,1,Fold1,0.771
RVA37,USERCREDLAT(11293),Atom5,Model2,Data1,1,Fold1,0.0
RVA38,USERCREDLAT(11294),Atom5,Model2,Data1,1,Fold1,1.0
RVA39,USERCREDLAT(11295),Atom5,Model2,Data1,1,Fold1,0.0
RVA40,USERCREDLAT(11296),Atom5,Model2,Data1,1,Fold1,0.797
RVA41,USERCREDLAT(11297),Atom5,Model2,Data1,1,Fold1,1.0
RVA42,USERCREDLAT(11298),Atom5,Model2,Data1,1,Fold1,0.0
RVA43,USERCREDLAT(39),Atom5,Model2,Data1,1,Fold1,1.0
RVA44,USERCREDLAT(38),Atom5,Model2,Data1,1,Fold1,0.0
RVA45,USERCREDLAT(11299),Atom5,Model2,Data1,1,Fold1,0.0
RVA46,USERCREDLAT(37),Atom5,Model2,Data1,1,Fold1,0.0
RVA47,USERCREDLAT(36),Atom5,Model2,Data1,1,Fold1,0.0
