AtomID,Argument,Position,Model,Dataset,Fold_number,fold_id
OBS1,InstArg5710,1,Model2,Data1,1,Fold1
OBS2,InstArg5710,1,Model2,Data1,1,Fold1
OBS2,InstArg1,2,Model2,Data1,1,Fold1
OBS3,InstArg15181,1,Model2,Data1,1,Fold1
OBS4,InstArg15181,1,Model2,Data1,1,Fold1
OBS4,InstArg6,2,Model2,Data1,1,Fold1
OBS5,InstArg15181,1,Model2,Data1,1,Fold1
OBS6,InstArg15182,1,Model2,Data1,1,Fold1
OBS6,InstArg4,2,Model2,Data1,1,Fold1
OBS7,InstArg15182,1,Model2,Data1,1,Fold1
OBS8,InstArg15182,1,Model2,Data1,1,Fold1
OBS9,InstArg778,1,Model2,Data1,1,Fold1
OBS9,InstArg3,2,Model2,Data1,1,Fold1
OBS10,InstArg778,1,Model2,Data1,1,Fold1
OBS11,InstArg15181,1,Model2,Data1,1,Fold1
OBS11,InstArg1674,2,Model2,Data1,1,Fold1
OBS12,InstArg15183,1,Model2,Data1,1,Fold1
OBS13,InstArg15183,1,Model2,Data1,1,Fold1
OBS13,InstArg7,2,Model2,Data1,1,Fold1
OBS14,InstArg15183,1,Model2,Data1,1,Fold1
OBS15,InstArg15181,1,Model2,Data1,1,Fold1
OBS15,InstArg9,2,Model2,Data1,1,Fold1
OBS16,InstArg15183,1,Model2,Data1,1,Fold1
OBS16,InstArg1670,2,Model2,Data1,1,Fold1
OBS17,InstArg15184,1,Model2,Data1,1,Fold1
OBS17,InstArg1671,2,Model2,Data1,1,Fold1
OBS18,InstArg15184,1,Model2,Data1,1,Fold1
OBS19,InstArg15184,1,Model2,Data1,1,Fold1
OBS20,InstArg15185,1,Model2,Data1,1,Fold1
OBS20,InstArg1672,2,Model2,Data1,1,Fold1
OBS21,InstArg15185,1,Model2,Data1,1,Fold1
OBS22,InstArg15185,1,Model2,Data1,1,Fold1
OBS23,InstArg15183,1,Model2,Data1,1,Fold1
OBS23,InstArg10,2,Model2,Data1,1,Fold1
OBS24,InstArg15186,1,Model2,Data1,1,Fold1
OBS25,InstArg15186,1,Model2,Data1,1,Fold1
OBS25,InstArg10,2,Model2,Data1,1,Fold1
OBS26,InstArg15186,1,Model2,Data1,1,Fold1
OBS27,InstArg5710,1,Model2,Data1,1,Fold1
OBS27,InstArg1671,2,Model2,Data1,1,Fold1
OBS28,InstArg15187,1,Model2,Data1,1,Fold1
OBS29,InstArg15187,1,Model2,Data1,1,Fold1
OBS29,InstArg1,2,Model2,Data1,1,Fold1
OBS30,InstArg15187,1,Model2,Data1,1,Fold1
OBS31,InstArg15187,1,Model2,Data1,1,Fold1
OBS31,InstArg10,2,Model2,Data1,1,Fold1
OBS32,InstArg15188,1,Model2,Data1,1,Fold1
OBS32,InstArg10,2,Model2,Data1,1,Fold1
OBS33,InstArg15188,1,Model2,Data1,1,Fold1
OBS34,InstArg15188,1,Model2,Data1,1,Fold1
OBS35,InstArg15183,1,Model2,Data1,1,Fold1
OBS35,InstArg1,2,Model2,Data1,1,Fold1
OBS36,InstArg15182,1,Model2,Data1,1,Fold1
OBS36,InstArg8,2,Model2,Data1,1,Fold1
OBS37,InstArg15182,1,Model2,Data1,1,Fold1
OBS37,InstArg11,2,Model2,Data1,1,Fold1
OBS38,InstArg5710,1,Model2,Data1,1,Fold1
OBS38,InstArg5,2,Model2,Data1,1,Fold1
OBS39,InstArg778,1,Model2,Data1,1,Fold1
OBS39,InstArg34,2,Model2,Data1,1,Fold1
OBS40,InstArg15189,1,Model2,Data1,1,Fold1
OBS41,InstArg15189,1,Model2,Data1,1,Fold1
OBS41,InstArg50,2,Model2,Data1,1,Fold1
OBS42,InstArg15189,1,Model2,Data1,1,Fold1
OBS43,InstArg15190,1,Model2,Data1,1,Fold1
OBS44,InstArg15190,1,Model2,Data1,1,Fold1
OBS44,InstArg47,2,Model2,Data1,1,Fold1
OBS45,InstArg15190,1,Model2,Data1,1,Fold1
OBS46,InstArg5710,1,Model2,Data1,1,Fold1
OBS46,InstArg25,2,Model2,Data1,1,Fold1
OBS47,InstArg15185,1,Model2,Data1,1,Fold1
OBS47,InstArg48,2,Model2,Data1,1,Fold1
OBS48,InstArg15191,1,Model2,Data1,1,Fold1
OBS49,InstArg15191,1,Model2,Data1,1,Fold1
OBS50,InstArg15191,1,Model2,Data1,1,Fold1
OBS50,InstArg44,2,Model2,Data1,1,Fold1
OBS51,InstArg15182,1,Model2,Data1,1,Fold1
OBS51,InstArg46,2,Model2,Data1,1,Fold1
OBS52,InstArg15190,1,Model2,Data1,1,Fold1
OBS52,InstArg52,2,Model2,Data1,1,Fold1
OBS53,InstArg9558,1,Model2,Data1,1,Fold1
OBS54,InstArg9558,1,Model2,Data1,1,Fold1
OBS54,InstArg19,2,Model2,Data1,1,Fold1
OBS55,InstArg15192,1,Model2,Data1,1,Fold1
OBS56,InstArg15192,1,Model2,Data1,1,Fold1
OBS57,InstArg15192,1,Model2,Data1,1,Fold1
OBS57,InstArg71,2,Model2,Data1,1,Fold1
OBS58,InstArg15190,1,Model2,Data1,1,Fold1
OBS58,InstArg21,2,Model2,Data1,1,Fold1
OBS59,InstArg15183,1,Model2,Data1,1,Fold1
OBS59,InstArg80,2,Model2,Data1,1,Fold1
OBS60,InstArg15193,1,Model2,Data1,1,Fold1
OBS61,InstArg15193,1,Model2,Data1,1,Fold1
OBS62,InstArg15193,1,Model2,Data1,1,Fold1
OBS62,InstArg84,2,Model2,Data1,1,Fold1
OBS63,InstArg15194,1,Model2,Data1,1,Fold1
OBS63,InstArg28,2,Model2,Data1,1,Fold1
OBS64,InstArg15194,1,Model2,Data1,1,Fold1
OBS65,InstArg15194,1,Model2,Data1,1,Fold1
