AtomID,Argument,Position,Model,Dataset,Fold_number,fold_id
RVA1,InstArg1,1,Model2,Data1,1,Fold1
RVA2,InstArg2,1,Model2,Data1,1,Fold1
RVA3,InstArg3,1,Model2,Data1,1,Fold1
RVA4,InstArg4,1,Model2,Data1,1,Fold1
RVA5,InstArg5,1,Model2,Data1,1,Fold1
RVA6,InstArg6,1,Model2,Data1,1,Fold1
RVA7,InstArg7,1,Model2,Data1,1,Fold1
RVA8,InstArg8,1,Model2,Data1,1,Fold1
RVA9,InstArg9,1,Model2,Data1,1,Fold1
RVA10,InstArg10,1,Model2,Data1,1,Fold1
RVA11,InstArg11,1,Model2,Data1,1,Fold1
RVA12,InstArg12,1,Model2,Data1,1,Fold1
RVA13,InstArg13,1,Model2,Data1,1,Fold1
RVA14,InstArg14,1,Model2,Data1,1,Fold1
RVA15,InstArg15,1,Model2,Data1,1,Fold1
RVA16,InstArg16,1,Model2,Data1,1,Fold1
RVA17,InstArg17,1,Model2,Data1,1,Fold1
RVA18,InstArg18,1,Model2,Data1,1,Fold1
RVA19,InstArg19,1,Model2,Data1,1,Fold1
RVA20,InstArg20,1,Model2,Data1,1,Fold1
RVA21,InstArg21,1,Model2,Data1,1,Fold1
RVA22,InstArg22,1,Model2,Data1,1,Fold1
RVA23,InstArg23,1,Model2,Data1,1,Fold1
RVA24,InstArg24,1,Model2,Data1,1,Fold1
RVA25,InstArg25,1,Model2,Data1,1,Fold1
RVA26,InstArg26,1,Model2,Data1,1,Fold1
RVA27,InstArg27,1,Model2,Data1,1,Fold1
RVA28,InstArg28,1,Model2,Data1,1,Fold1
RVA29,InstArg29,1,Model2,Data1,1,Fold1
RVA30,InstArg30,1,Model2,Data1,1,Fold1
RVA31,InstArg31,1,Model2,Data1,1,Fold1
RVA32,InstArg32,1,Model2,Data1,1,Fold1
RVA33,InstArg33,1,Model2,Data1,1,Fold1
RVA34,InstArg34,1,Model2,Data1,1,Fold1
RVA35,InstArg35,1,Model2,Data1,1,Fold1
RVA36,InstArg36,1,Model2,Data1,1,Fold1
RVA37,InstArg37,1,Model2,Data1,1,Fold1
RVA38,InstArg38,1,Model2,Data1,1,Fold1
RVA39,InstArg39,1,Model2,Data1,1,Fold1
RVA40,InstArg40,1,Model2,Data1,1,Fold1
RVA41,InstArg41,1,Model2,Data1,1,Fold1
RVA42,InstArg42,1,Model2,Data1,1,Fold1
RVA43,InstArg43,1,Model2,Data1,1,Fold1
RVA44,InstArg44,1,Model2,Data1,1,Fold1
RVA45,InstArg45,1,Model2,Data1,1,Fold1
